,u,v,key,osmid,bridge,oneway,length,geometry
97,411686901,2274871799,0,218215448,yes,False,13.621,"LINESTRING (103.9148481 1.3929112, 103.914951 1.3929777)"
98,1167584060,1712357030,0,173144832,yes,False,28.45,"LINESTRING (103.90727 1.4164667, 103.9070567 1.4166081)"
99,1167584060,2274884971,0,173144832,yes,False,18.422,"LINESTRING (103.90727 1.4164667, 103.9073933 1.416356)"
100,1167584063,2274884971,0,173144832,yes,False,26.575,"LINESTRING (103.9075546 1.4161796, 103.9073933 1.416356)"
101,1167584063,2274884962,0,173144832,yes,False,18.58,"LINESTRING (103.9075546 1.4161796, 103.9076404 1.4160362)"
102,1167584068,2274884962,0,173144832,yes,False,24.026,"LINESTRING (103.9077253 1.4158375, 103.9076404 1.4160362)"
103,1167584068,2274884955,0,173144832,yes,False,20.871,"LINESTRING (103.9077253 1.4158375, 103.9077576 1.4156526)"
104,1167584069,2274884948,0,173144832,yes,False,32.905,"LINESTRING (103.9076678 1.4149117, 103.907753 1.4151951)"
105,1167584069,411102758,0,173144832,yes,False,41.974,"LINESTRING (103.9076678 1.4149117, 103.9075046 1.4145713)"
106,1712357001,5435063398,0,173144832,yes,False,10.317,"LINESTRING (103.9020426 1.4157357, 103.9019784 1.4156687)"
